	Saponin	Crenarchaeota	Euryarchaeota	AC1	AD3	Acidobacteria	Actinobacteria	Armatimonadetes	BHI80-139	BRC1	Bacteroidetes	CD12	Caldiserica	Caldithrix	Chlamydiae	Chlorobi	Chloroflexi	Cyanobacteria	Deferribacteres	Elusimicrobia	Fibrobacteres	Firmicutes	Fusobacteria	GAL15	GN02	GN04	Gemmatimonadetes	H-178	Hyd24-12	KSB3	Kazan-3B-28	LD1	Lentisphaerae	MVP-21	NC10	NKB19	Nitrospirae	OD1	OP1	OP11	OP3	OP8	OP9	PAUC34f	Planctomycetes	Proteobacteria	SAR406	SBR1093	SC4	SR1	Spirochaetes	Synergistetes	TA06	TM6	TM7	Tenericutes	Thermotogae	Verrucomicrobia	WPS-2	WS2	WS3	WS4	WS5	WS6	WWE1	ZB3	[Caldithrix]	[Thermi]	unclassified_Bacteria	unidentified_Bacteria
24	1.33	0	0	0	2.166666667	88.66666667	2662.666667	0	0	6.333333333	7103.666667	0	0	0	16.5	1.166666667	214.6666667	460.5	0	0.666666667	0	369.3333333	51.83333333	0.166666667	7	0	40.16666667	0.166666667	0	4.333333333	0	0	1.666666667	0	0	0.166666667	0.666666667	22.5	0	0.833333333	0	0.166666667	0	0	65.16666667	30131	0	0.166666667	0	0	2.333333333	0	0	38.83333333	127.6666667	120.1666667	0	1219	12.5	0	2.666666667	0	1.833333333	2	0	0	0	63	23.33333333	5.333333333
25	1.09	0	0	0	0.5	76.33333333	2286	0.166666667	0	3.666666667	7700.333333	0	0	0	29.83333333	4.333333333	198.8333333	473	0	2.833333333	1.833333333	480.6666667	17.33333333	0	5.666666667	0	30.33333333	0	0	1.333333333	0	0	2.833333333	0	0	0	1	41.66666667	0	0.666666667	0	0.166666667	0	0	97.16666667	29583.83333	0	2.833333333	0	0	3	0	0	39.83333333	132.8333333	33.33333333	0	1402.166667	15.66666667	0	1.666666667	0	3	2.166666667	0	0	0	95.5	94	4.666666667
26	1.06	0	0	0	0	79	2576	0	0	4	8066.666667	0	0	0	18	1.333333333	275.6666667	586.6666667	0	0	1.333333333	1143.333333	160.3333333	0	2	0	33.66666667	0.333333333	0	6.666666667	0	0	5.666666667	0	0	0	0.333333333	20	0	2	0	0.333333333	0	0	75.33333333	28611.66667	0	1.666666667	0	0	7	0	0	40.66666667	112	45.33333333	0	878.6666667	12	0	2.333333333	0	2.333333333	2.666666667	0	0	0	57.33333333	19.33333333	19.33333333
27	1.07	0	0	0	0.333333333	77.66666667	2200.666667	0.333333333	0	9.666666667	9327.333333	0	0.333333333	0	22	1.333333333	192	312.3333333	0	0	0.333333333	165.3333333	34.66666667	0	5.333333333	0	44.66666667	0	0	3.333333333	0	0	1.333333333	0	0	0.333333333	0	40.66666667	0	0.333333333	0	0	0	0	70.66666667	28524.33333	1	2	0	0	5.666666667	0	0	28.33333333	105	57	0	1522	19	0	1.666666667	0	3	2.666666667	0	0	0	43.66666667	41.66666667	3
28	1.13	0	0	0	0	47.66666667	1383.666667	0	0	4.333333333	11213	0	0	0	16.66666667	6	118.6666667	272	0	0	1.333333333	150.3333333	14.33333333	0	14	0	20.66666667	0	0	2.333333333	0	0	0	0	0	0.333333333	2.666666667	81	0	0	0	0	0	0	62.66666667	27750.33333	2.333333333	1.666666667	0	0.333333333	29	1	0	17.66666667	59.66666667	44	0	1397	17.66666667	0	0.666666667	0	1	1.666666667	0	0	0	30	97.33333333	8
29	1.08	0	0	0	0	84	2975.333333	0.333333333	0	3.333333333	5721	0	0	0	45.33333333	0.833333333	275.6666667	563.5	0	2.333333333	0.833333333	563.5	24.16666667	0	2.5	0	48.16666667	0	0	6.833333333	0	0	2.666666667	0.833333333	0	0.666666667	1.666666667	32.5	0	0.333333333	0	0	0	0	91.5	29680	0	2.333333333	0	0.5	2.833333333	0	0	59.16666667	168.3333333	173.1666667	0	2149.166667	36.5	0.666666667	1.5	0	1.166666667	3.666666667	0	1	0	106.6666667	26.33333333	10.16666667
30	2.32	0	0	0	0	173.7142857	1461.142857	0.428571429	0	0	2009	0	0	0	37.57142857	0.142857143	198	954.8571429	0	0.285714286	0.142857143	240.5714286	13.57142857	0	0.857142857	0	9.714285714	0	0	5.714285714	0	0	0.857142857	0.571428571	0	0	2	23.42857143	0	1.285714286	0	0	0	0	60.28571429	31032.14286	0.285714286	0.428571429	0	0	0	0.142857143	0	249.5714286	34.71428571	10.71428571	0	6278.857143	3.142857143	0	0	0	0.571428571	2	0	0	0	42.42857143	10.85714286	11
31	2.74	0	0	0	0	222.5	1593.5	0	0	2.666666667	4373.833333	0	0	0	39.83333333	0.333333333	243	722.3333333	0	1.5	0.833333333	480.1666667	108.5	0	0	2.166666667	19.16666667	0	0	5.666666667	0	0	1.5	0	0	0.166666667	1.833333333	58.5	0	2	0	0	0.5	0	84.16666667	29978.66667	0	0.166666667	0	0.166666667	0.5	2	0	188.5	42.83333333	454.6666667	0	4020.333333	6.666666667	0	0	0	1.5	1.666666667	0	0	0	192.8333333	7.833333333	8
32	2.5	0	0	0	0	185.1666667	1164	0.666666667	0	1.333333333	5467.333333	0	0	0	31.83333333	1.333333333	178.5	709.6666667	0.5	0.666666667	0.333333333	269.6666667	120.5	0	35.5	0	27.16666667	0	0	1.166666667	0	0	0	0	0	0	1	25.83333333	0	2.166666667	0	0.5	0	0	81.33333333	29149	0	0.5	0	0	0.833333333	0.166666667	0	176	31.66666667	144.8333333	0	4942.833333	6.333333333	0	0	0	0.5	0.333333333	0	0	0.166666667	81.33333333	16	14.33333333
33	2.42	0	0	0	0	124.6666667	1138.333333	0	0	1.833333333	5960	0	0	0	38.16666667	2.166666667	116.6666667	534.8333333	0	1.666666667	0.333333333	283.8333333	26.83333333	0	1.666666667	0	10.16666667	0	0	3.166666667	0	0	1.833333333	0	0.333333333	0.166666667	1.166666667	18	0	1.166666667	0	0.333333333	1.333333333	0	62.16666667	30584.66667	0.5	0	0	3.333333333	3.333333333	2.166666667	0	179	25.83333333	65	0	3593.5	5.833333333	0	0	0	1	1.166666667	0.5	0.166666667	0	34	33.16666667	7
34	2.44	0	0	0	0	142.75	846.75	1.25	0	0.75	2721.5	0	0	0.75	24.5	2.75	123.5	530.75	0	0.5	0	207.5	61.5	0	4	0	20.25	0	0	3.5	0	0	0.5	0	0	0	3.75	19	0	1.75	0	0.75	0.75	0	51.5	32545.75	0	0	0	0.5	1	0.25	0	100.25	51.75	24	0	5255.5	5	0.75	2.75	0	1	1	0	0	0	85.25	16	9.75
35	2.58	0	0	0	0	135	1232	0	0	0	4261	0	0	0	19	0	209	878	0	0	0	379	8	0	2	0	1	0	0	5	0	0	0	0	0	0	3	19	0	2	0	0	0	0	55	31411	0	0	0	0	0	0	0	184	41	19	0	3816	1	0	2	0	0	0	0	0	0	115	66	8
36	1.76	0	0	0	0	78.5	2681.5	0	0	0.5	3367.5	0	0	0	55	3.5	38	890.5	0	0	0	180	2	0	1	0	15	0	0	0	0	0	0	0	0	0	3.5	46	0	0	0	0	0	0	1080.5	33033.5	0	90	0	0	0	0	0	60	110.5	0	0	753.5	130.5	0	2.5	0	0	2.5	0	0	0	199.5	12.5	33
37	1.76	0	0	0	3.666666667	23	3420.666667	3.333333333	0	0	2225	0	0	0	87	0	60	1769	0.333333333	0.333333333	0	168.3333333	8.666666667	0	9.666666667	0	3.333333333	0	0	0	0	0	0	0	0	0.333333333	0.666666667	72.33333333	0	0	0	0	0	0	88.33333333	33010.33333	0	11.66666667	0	0	2.666666667	0	0	73	123.6666667	1	0	959.3333333	203.3333333	0	0	0	0	8.666666667	0	0.666666667	0	519.3333333	9.666666667	3.666666667
38	1.59	0	0	0	0	111.6666667	6086.666667	0	0	1.333333333	3196	0	0	2	105	9.666666667	131.3333333	564.3333333	0	1	0	40.66666667	0	0	3.333333333	0	3.333333333	0	0	0	0	0	0.666666667	0	0	0	0.666666667	14	0	0.666666667	0	0	0	0	879	29333	0	63	0	0	0	0	0	144.3333333	139.3333333	1	0	1762.333333	193	0	1.666666667	0	0	8	0	0	0	49.33333333	11.33333333	13.33333333
39	1.63	0	0	0	0	100.5	1924.5	0.5	0	13.5	5334.5	0	0	0	342.5	27	703.5	1159	0	1.5	0	302.5	0	0	21.5	0	69.5	0	0	0	0	0	0	0	0	2.5	0.5	83	0	0	0	0	0	0	469.5	28852.5	0	124.5	0	0	3	0	0	88	107.5	0.5	0	2536.5	195.5	0	2.5	0	0	137.5	0	0	0	213	33.5	20.5
40	1.58	0	0	0	12	89	1251	0	0	0	2473	0	0	0	534	2	84	826	0	0	0	147	0	0	0	0	16	0	0	0	0	0	0	0	0	0	7	51	0	0	0	0	0	0	243	33664	0	106	0	0	0	0	0	561	82	0	0	2177	247	5	1	0	0	10	0	0	0	277	6	0
41	1.74	0	0	0	2.583333333	37	884.9166667	0.166666667	0	0	18893.41667	0	0	0	19.83333333	0.416666667	59.41666667	104.3333333	0	2.083333333	0	158.75	2.5	0.833333333	2.25	0.166666667	2.583333333	0	0	1.25	0	0	0	0	0.083333333	0	1.5	30.66666667	0	0.916666667	0	0	0	0	20.41666667	20158.08333	0	0.5	0	0	0	0	0	55.66666667	10	4.583333333	0	2190.333333	5.583333333	0	0.333333333	0	0.166666667	0.166666667	0	0	0	131	86.66666667	1.833333333
42	1.85	0	0	0	1.3	236	4292.7	0.7	0	8.5	2886.3	0	0	0.3	89.7	0.4	434.5	764.8	0	2.3	0.3	445.6	90.7	0	1.6	0	29.8	0	0	15.1	0	0.3	1.7	0	0	0.4	3.5	56.6	0	4.2	0	1	0	0	61.9	30554.3	0	8	0	0.2	0.2	0	0	323.4	88.8	561.2	0	1748.5	29	1.1	1.8	0	1.4	2.8	0	0.5	0	101.3	13.3	5
43	1.28	0	0	0	0	154.6666667	3887.666667	0.333333333	0	1.333333333	2621	0.666666667	0	0	100.6666667	0.333333333	350.6666667	285.3333333	0	1	0	637.6666667	194	0	0.333333333	0	1.333333333	0	0	11.33333333	0	0.666666667	4.333333333	0	0	0	1.666666667	37	0	7.333333333	0	0.333333333	0	0	49	28797.33333	0	1.333333333	0	0	0	0	0	265	68.33333333	14	0	5286.666667	10.33333333	0	0	0	1.333333333	3	0	0	0	55.66666667	12	7.333333333
44	1.4	0	0	0	0	76.75	2809.25	2.5	0	1	4134.5	0	0	0	30.75	0	161.25	197.5	0	6.5	1.75	287.5	21.75	0	8.25	0	3	0	0	3	0	0	0.25	0	0	0	4	56	0	4.5	0	0	0	0	20.5	32994.75	1.5	0.75	0	0	0	0	0	142.75	27.25	313	0	1349.5	5	0	0	0	0.5	1	0	0	0	186.75	16	1.75
45	1.34	0	9	0	0	70.33333333	2596	11.66666667	0	0	2171	0	2	0	50.66666667	18.33333333	287.6666667	249.3333333	0	7.333333333	0	2012.333333	2.333333333	0	0.666666667	0	4.666666667	0	0	2.333333333	0	0.666666667	1.666666667	0	0	0	0.666666667	73.66666667	0	3.666666667	1	12	9.666666667	0	44	30818.33333	0	0.666666667	0	0	17	377	13	136.3333333	47.66666667	38.66666667	10.66666667	3506.333333	8.333333333	0	1	0	2	34.66666667	96.33333333	0	1.333333333	98	11	10
46	1.24	0	0	0	0	40.66666667	2423.333333	1.666666667	0	2.333333333	5237.333333	0	0	0	42.33333333	0	132	301	0	1.333333333	0	239.6666667	71.66666667	0	3.333333333	0	2.666666667	0	0	5.666666667	0	1	1	0	0	0	0.333333333	21.33333333	0	2	0	0	0	0	32.66666667	26860.33333	0	1	0	0	0	0.666666667	0.333333333	119.3333333	23	13	0	7105.333333	7	0	0	0	0.333333333	0	0	0	0	161	8.666666667	7.666666667
47	1.3	0	0	0	0.333333333	126.2222222	4510.555556	0.666666667	0	1	1731.777778	0	0	0	63.88888889	0.222222222	390	519.5555556	0	0.333333333	0	243.2222222	4.444444444	0	0.888888889	0	6.222222222	0	0	9	0	0.666666667	0.111111111	0	0	0	0.888888889	34.22222222	0	2.444444444	0.111111111	0.777777778	0	0	41.77777778	28874.44444	0.444444444	1.111111111	0	0	0	0	0	200.4444444	100.3333333	15.33333333	0	5885.333333	14.11111111	0	0.222222222	0	1.111111111	3.777777778	0	0	0	56	14.11111111	14.88888889
48	1.28	0	0	0	0	105.7777778	3955.555556	1.777777778	0	0.666666667	2144.555556	0	0.333333333	0	89.55555556	0	294.8888889	365.4444444	0	1	0.444444444	253.4444444	8.666666667	0	1.555555556	0	3.222222222	0	0	8.222222222	0	0.555555556	0.555555556	0	0	0.111111111	0.111111111	26.88888889	0	3.666666667	0	0.444444444	0	0	26.44444444	28192.55556	0.222222222	0.444444444	0	0	1.555555556	2.333333333	0.111111111	209	79.33333333	55	0.111111111	6923.666667	15	0	0	0.111111111	1.888888889	2.666666667	1.222222222	0.444444444	0	72.44444444	11.77777778	7.222222222
